b	家
pdm	杯
pgy	横
pjs	检
psr	棒
prl	枪
pwy	核
mmh	频
mjg	逻
fmb	嘴
fmk	距
fmh	跳
fms	跑
ffm	患
fnd	嗯
fnl	啦
flh	咖
fgp	嘛
fkf	呵
fhn	哦
fzd	施
fzl	旅
fzc	旗
fsn	遗
fsc	喷
frs	喝
dpb	粉
dpn	粗
dpg	糖
dpj	断
dps	糊
dpv	精
dmg	否
dmj	将
dfd	碰
dfl	卷
dfk	硬
dfw	碎
dtt	街
dnv	耐
dgm	州
dkb	益
dkf	养
dkd	送
dkn	差
dkh	普
dkq	剪
dkx	兼
djd	衡
dxv	尊
dsm	德
dsf	辑
dsl	较
dsg	暂
dsk	辆
dsj	输
dsv	轻
drl	冷
dvx	径
tdm	坏
tds	载
ttg	戴
tlk	培
tlw	截
tzk	趣
tzc	超
tcj	塔
tsd	墙
nbb	控
nbd	挥
nbj	擦
nmt	摆
nfn	损
ndf	圈
ndk	恩
nnk	删
ngm	抓
ngk	握
ngx	哲
nkg	拒
nhd	播
nhl	抛
nhz	挺
nhs	括
nhy	搬
njm	搜
nqj	扰
nxj	抵
nzd	拖
nzz	摇
ncj	搭
ncs	撕
ncr	摸
nsf	固
nsl	助
nsg	救
nrd	赚
nrl	抢
nrh	贴
nrs	购
nvd	围
nvs	园
nwn	搞
nwl	势
lbd	倾
lbn	货
lms	承
ldl	伪
lnb	商
lnr	侧
llk	倍
lgm	假
lgn	勇
lgl	预
lgg	偏
lgc	柔
lgv	登
lkf	使
lkn	俩
lkh	站
lkj	代
lkr	便
lky	倒
lhf	架
lhn	傻
lhz	凭
ljq	偷
ljx	您
lxb	侵
lxn	健
lzf	蛋
lsn	值
lvm	录
lvj	传
lwb	停
lwh	依
gpp	魔
gdg	弱
gnd	阅
gnk	闻
gnw	闹
glg	序
ggn	遍
ggj	展
ghf	属
ghz	庭
gxm	康
gxj	底
gsf	剧
grr	座
kbk	演
kpr	渣
kmm	涉
kmd	顶
kfp	整
kfm	歌
kff	潜
kfd	豆
kft	逼
kfk	或
kfz	游
kdg	洲
kdk	洋
kds	渐
knp	刺
kng	丽
knj	顿
knr	测
kln	滴
kly	滚
kgn	润
khd	联
kht	洗
khl	聊
khk	恶
khr	激
khv	聚
kxm	妻
kxv	漂
kzd	医
kch	源
kcq	匿
ksf	湖
ksz	淘
krb	混
krm	漫
kwl	液
kwh	湾
kwy	济
kyt	致
kyj	欧
kyy	爽
hpd	税
hpn	透
hpl	季
hph	穆
hpj	称
hpx	秒
hps	稍
hmt	鼻
hdp	翻
hdn	烦
hdl	炼
hdk	烂
hdj	逃
htf	造
hts	赞
hnd	奥
hnt	特
hjg	餐
hqk	射
hsm	剩
hsf	适
hsl	版
hrg	爆
hyt	船
hyk	烧
hyw	航
jfk	误
jdm	补
jdg	裤
jdk	谱
jlk	词
jgm	外
jgn	祖
jgl	怨
jgk	福
jkd	评
jhq	谢
jjb	馆
jjz	饰
jxk	毁
jcl	诚
jcq	诺
jsk	剑
jsq	诸
jvl	野
qbg	袭
qmh	雅
qsn	锁
xkf	恐
xkd	项
xkg	姨
xkk	巧
xvl	努
xvh	酷
xvr	醒
xvy	酸
zmv	怎
zfd	鼓
zdf	智
zdk	短
zgg	篇
zjl	敏
zjs	签
zsp	籍
zvz	篮
cbl	劳
cbv	蒙
clk	薪
clh	苏
clj	顾
clq	盛
ckd	苹
ckl	范
ckk	薄
ckj	励
ckw	落
csb	斯
csh	获
csq	著
crl	厚
cvl	萨
cvk	药
cvz	蓝
sfn	赏
snd	南
slh	协
slv	卖
skb	举
skf	懒
skq	博
shf	独
shl	犯
shc	猫
shs	猪
shv	帮
shw	逛
sxl	悟
szv	韩
srm	泰
srk	奏
rlk	暗
rlj	创
rgf	舒
rzm	昨
rcv	晨
vlk	陪
vkb	综
vkf	阿
vkd	练
vkn	组
vkl	维
vkg	编
vkk	纯
vkj	绝
vkx	红
vkz	缓
vkc	绍
vks	续
vkv	绩
vkw	统
vjl	毒
vjx	隐
vjs	险
vqj	静
vxk	劲
vvy	紧
vyb	魂
wbk	豪
wby	毫
wdm	环
wln	熟
whf	蛮
wyd	率
wyn	赢
wyr	刻
ydf	腾
ydn	需
yqb	熊
ycr	膜
bba	穴
bbe	痺
bbi	比 宓 疕
bpa	宋
bpi	疲
bfe	痱
bd;	疖
bto	冗 宂
btu	冤 寃
bt/	痌
bno	鹎
bni	疓
bla	宍
bgu	容
bg.	痕
bg/	宆
bha	疝 冚
bho	灾 疢
bhe	痐
bja	疚
bju	痀
bj.	釡
bq;	痊 宊
bq/	肎
bxa	疜
bxo	安
bxe	疟
bx.	宰
bx/	兌
bzi	疻
bzu	定
bz.	寘 瘨
bco	分
bc.	守 疛
bso	冘 尣
bsu	疫
bs.	审
bri	旨
bvi	官 郫 邲
bw.	敝
bya	宙 宦
byo	公 宎
byi	父
byu	写
pba	朳
pbo	杴
pbe	椑
pbi	朼 柲
ppa	林
ppi	柀
pma	杩 杫
pmo	枺
pmu	相
pm;	梚
pfo	杏
pfe	棑
pfu	枎
pf;	板 杋
pf,	枋
pda	杕
pd/	栋
pta	柁
pto	机
ptu	杜
pt/	桐
pna	杽
pne	枘
pla	杺
plo	栳
ple	朰
pli	槅
plu	樚
pl/	柺
pga	柧
pgi	术 朮
pg;	杆 皯
pg.	根
pg/	杛 栱
pki	枅
pha	杣
pja	桕 柙 杦
pjo	桷
pje	札
pji	杞
pju	枸
pj;	枧
pj/	椋
pqo	杰
pq;	栓 枤
pxi	栖
px,	橡
px.	梓
px/	柷
pzi	枳
pzu	株
pz,	杖 枨
pz.	槙
pco	朷
pci	材 柝
pcu	柮
pc;	杊
pc.	村
pso	杓
psu	朻 杸
ps;	杉
ps.	柛
pri	杳
pr.	朲 杒
pvo	权
pv,	枊
pw,	枉
pw.	枚
pya	柚 栕
pyo	枖
pye	枂
mba	貝
mbo	欠
mbe	卑 睥
mbi	此 匕
mma	止
mmo	眜
mmi	麦
mmu	眉
mm;	睌
mm.	皿
mfe	罪 𬴂
mfu	麸
mf;	凡 眅
mf,	眆
mda	驮
mdo	彳
mdi	歹
mta	驼
mto	条 凣
mtu	兔
mt/	眮
mno	鸟 鿺
mni	乃
mla	心
mle	乙
mli	鬲
mlu	鹿
ml.	仑
mga	瓜 罛
mgo	尸
mge	革
mgi	卜
mgu	谷
mg;	盰
mg.	眼 艮
mg/	弓
mja	久 臼
mje	巴
mji	己
mju	驹 眗
mj;	𪾢
mqa	丘
mqo	馬
mqi	气
mq;	犬 狊
mq/	肯
mxo	女
mxi	习
mx,	象
mx.	辛 骍
mx/	眖
mzo	士
mzu	朱 歨
mz,	丈
mz.	瞋
mci	斥
mcu	齿
mc;	川 驯
mc,	厂
mc.	寸
mso	見 勺
msi	水 巳 氺
msu	殳
ms.	申 眒
mro	巾
mri	旧 驲
mr.	刃 罖
mvo	驭
mwa	瓦
mwo	詈
mwe	眛
mwu	乌
mw;	丸
mya	臣
myo	夭 幺
mye	曰 眀
myu	雨
fba	叭
fbo	吹
fbe	啤
fbi	叱 咇
fb.	呠
fpa	呆 棐
fma	吗
fme	中
fmi	唛
ffo	吕 吅
ffe	啡
ffu	呋
fda	奜
fdo	剕
fd;	叩
fta	咜
fto	叽
ftu	吐
ft/	哃
fno	鸣
fne	呐 呙
fn;	哖
fla	悲 吣
flo	咾
fli	嗝
fga	呱
fgu	唂
fg.	哏
fg/	哄
fka	咔
fke	韭
fki	咞
fho	吙
fja	呷
fjo	唃
fju	呴
fj;	规
fj.	唫
fq;	吠 猆
fq/	肙
fxa	吓
fxo	婓
fxi	哂
fx,	响
fx/	呪
fzi	返 呮
fzu	足 咮
fz.	嗔
fco	叨 叧
fcu	咄
fc.	吋
fsi	叶
fsu	叫 吺
fs.	呻
fro	吊
fvo	叹
fvi	邡 邞
fwa	咓 瓬
fwo	唁
fwe	味
fwu	呜 呒
fw,	呈
fw.	放 呚
fyo	虫 吆
fyi	史
dbo	次
dbi	死
dpa	米
dpi	彼
dma	冯
dme	丫 丬
dm;	凂
dfo	石 夻
dfe	徘
dfu	龹
df,	彷
dda	夶
ddo	列
dd;	兯
dd/	冻
dtu	圶
dt;	奋
dna	半
dno	鸫
dgi	太 卪
dg.	很
dke	卫
dki	并
dhe	徊 靣
dje	也
dj.	凎
dj/	凉
dqo	夰
dxo	夵
dxe	归
dxi	徆
dx/	况 兑
dzi	达
dzu	殊
dz,	套
dc;	夼
dc.	夺
dso	彴
dsi	车 夲
dsu	役 殁
dro	帅
dri	百
dvi	冭 夳
dw,	彺
dyo	厺 殀
tbo	坎
tbe	埤
tpa	朵 凩
tpi	坡
tma	址 凪
tfu	畉
tf;	坂 畈
tf,	坊
tdi	夙
tta	坨
ttu	圭 堍
tt;	畕
tt/	垌
tne	凷
tn/	畀
tla	思
tli	塥
tlu	塶
tl.	𫭢
tga	坬 畖
tgi	圡
tg,	圹
tg.	垠
tg/	異 垬
tha	圸
tho	赤 灻
tja	畂
tjo	埆
tje	圠
tji	圮
tju	坸
tqa	坵
tq;	畎
tq/	胃
txa	圷
tx,	垧
tx.	垶
tzi	逸 迱 迵
tzu	走
tz.	填
tci	坼
tc;	圳 甽
tc.	寺
tso	圥 圴
tsi	圯
tsu	坄
ts,	圵
ts.	坤
tro	凧
tvo	凤
twu	坞
tw.	畋 坆
tyo	去
tyi	风
nba	扒
nbo	扻 欮
nbe	捭
npa	朶 梟 枭
npi	披
nma	扯
nmo	抹
nme	屮
nmu	看
nm;	挽
nm.	盁
nfo	扣 冋
nfe	排
nfu	扶
nf;	扳
nda	央
nta	鸵 拕
nto	凫 鳬
ntu	冉 扗
nt/	挏
nna	用 抙
nne	击 抐
nni	扔
nla	抋
nli	搹
nlu	摝
nl.	抡
nl/	拐
ngi	及
ng;	扞
ng,	扩
ng.	拫
ng/	拱
nka	拤
nke	囗
nha	島 岛
nja	押
njo	捔
nje	扎
nju	拘
nj.	捦
nj/	掠
nqa	拞
nqo	鳥
nq;	拴
nxo	尕
nxe	扫
nxi	拪
nx/	拀
nzi	逆 抧 辸
nz,	扙
nz.	搷
nco	冊
nci	拆
ncu	拙
nso	扚
nsi	囘
nsu	投
ns;	且
ns,	円
ns.	抻
nr.	贝 扨
nvo	夃
nvi	冃 冄
nv,	抑
nwo	丹
nwe	抺
nwu	抚
nw;	执
nw,	抂
nya	抽 挋
nyo	払 扷
nye	朔 抇 抈
nyi	冈 罓
lba	仈
lbe	俾
lbi	化 佖 麀
lb.	体
lpa	休
lpi	佊
lme	了 仫
lm;	俛
lfo	吢
lfe	俳
lfu	伕
lf;	仮
lf,	仿
lda	夬
ldo	别
ld;	飞
lta	佗
lto	麂 仉
ltu	丑 塵
lt;	留 佃 乪
lt/	侗
lna	子 孑 丮
lno	鹝
lni	仍
lla	伈
llo	佬
lle	亿
ll.	伦
lge	鞷
lgi	廴 乄 龴
lgu	俗
lg;	仠
lg.	佷
lg/	供
lka	佧
lke	立 刁
lha	仙
lho	伙
lhe	力 佪
lje	乜
lju	佝 耈
lj;	伣
lj.	鏖
lj/	倞 麖
lqo	麃
lq;	伏 佺
lxo	乐 仦
lxi	価
lx,	像
lx/	兗
lzo	仕
lzi	伿
lzu	侏 疋
lz,	仗 伥
lz.	傎
lc,	产
lc.	付
lso	仢
lsi	什 卂
lsu	伇
ls;	仨
ls,	仩
ls.	伸
lri	耆
lr.	仞
lvo	仅
lvi	仁 佀 鄜
lv,	仰
lwa	佤
lwo	信 隹
lwe	佅
lw,	仼
lya	伷
lyo	仏 仸
lye	仴
lyi	交
gbo	欲 弞
gbe	庳 鞞
gbi	尼 庀
gpa	床 杘
gpi	鞁
gmo	靺
gme	引 弔 庅
gm;	鞔
gfo	咼
gfe	屝
gda	庆
gdo	刊
gd;	卻
gto	凥
gtu	庄 垦 靯
gt;	屇
gna	拲
gno	鹆 鸤
gne	门 靹
gn/	亣
gla	恳 応
glu	廘
gga	弧
ggo	户
ggi	尺
gg;	幵 靬
gg.	良 鞎
gg/	戶 弜 谼
gke	弖
gja	庘
gj/	弶
gqo	弗
gq/	骨
gxa	斤 卞
gx.	屖
gzi	退 迀 迉 逧
gz,	张
gcu	屈
gso	瓝 靮
gsi	巷
gri	昔
gr.	庂 靭
gvi	邝 邗 䢼 郤
gwu	庑
gw.	攼
gya	届 庙 弫
gyo	弘 広
gyi	义
gyu	屚
kba	汃
kbe	渒
kbi	泌
kb.	泍
kpa	沐
kpi	波
kma	正 沚
kmo	沫
kme	丁
kmu	泪
km;	浼
kfe	渄
kf;	汎 汳
kf,	汸
kda	天 汏
kdo	刑
kta	沱
kto	涤
ktu	汢
kt;	沺
kt/	洞
kna	于
kne	丙 汭
kn/	亓
kla	沁
kli	滆
klu	漉
kl.	沦
kga	泒
kgo	戸
kgu	浴
kg;	汗
kg.	泿
kg/	洪
kki	汧
kha	汕
kho	灭 烎
khe	洄
kh;	耳
kja	汣
kjo	万
kje	匚 丂 匸
kju	泃
kj.	淦
kj/	涼
kqi	汽
kqu	浀
kq;	汱 洤
kxo	汝
kxi	洒
kx,	潒
kx/	況
kzo	車
kzi	辷
kzu	洙
kz.	滇
kco	豕
kci	泝
kcu	泏
kc;	卅 汌
kso	兀 汋
ksi	汁 汜
ksu	没
ks;	形 卌
kro	巿 帀
kri	汨
kr.	汄
kvo	汉
kvi	邢
kwe	沬
kwu	𣲘
kw;	汍
kw,	汪
kw.	汷
kya	油
kyo	沃
kye	汩
hbo	炊
hbe	崥 焷
hbi	虙
hpa	禾 炑
hpi	岥
hmu	自
hm.	血
hfo	占
hfu	失
hf;	岅 炍
hdo	乊 灲
hd/	岽
hta	岮 炨
hto	虎 凢
htu	灶
ht;	甶 畑
ht/	峒 峝 烔
hna	牛 牜
hni	屷
hn/	升 灷
hla	虑
hlo	峔
hle	九
hli	鬳
hlu	熝
hgo	卢
hge	煂
hgi	入
hgu	峪 焀
hg;	屽
hg.	峎
hg/	烘 烡
hke	业
hki	岍
hha	灿 屲 屾 岀
hho	炎 炏
hja	岬 炠
hjo	崅
hje	乢
hji	岂 屺
hju	岣
hj;	岘
hj.	崟 崯
hqa	岴 虗
hqi	乇
hqu	𪨰
hq;	峑 烇
hxe	虐
hx,	嶑
hx.	峷
hx/	岲 炾
hzo	卓 壬
hzi	迴 炽 辿
hz.	嵮
hco	屶 灱
hcu	炪
hc,	屵
hso	灼 灮
hsi	千
hsu	炈
hro	币
hri	白
hr.	屻 岃
hvo	生
hvi	亗 邖 邩
hv,	岇
hwo	訔
hw.	炇
hya	岫 峀 烥
hyo	岆
hye	舟 岄
hyu	屿
jba	釟
jbo	欽 欨
jbe	錍
jbi	鉍
jb.	鉢
jpa	余 鈢
jpi	诐 鈹
jpu	鈙
jme	亇
jmu	鉬
jm;	鋔
jfo	合 釦
jfe	诽
jfu	鈇
jf;	釩 鈑
jf,	访 鈁
jda	釱
jdo	釗 剠
jd;	即 衤
jta	鉈
jto	讥 釠
jtu	釷
jt;	鈿
jt/	銅 𫍣
jno	鸭 鸲
jne	鈉 讷
jni	釢
jn/	舁
jla	忌 鈊
jlo	銠
jle	釔
jli	鎘
jlu	鏕 麁
jl.	论
jga	觚 鈲
jgi	夕 礻
jgu	鋊
jg;	讦 釬
jg.	銀 𬣳
jg/	鉷
jka	鉲
jke	鱼
jki	鈃
jha	讪
jho	灸 鈥
jja	鉀 臽
jje	饣 釓
jji	记
jju	鉤
jj.	鍂
jj/	谅 鍄
jqo	魚
jq;	銓 诠
jxo	尔 妀 釥 釹
jxe	刍
jx,	銄 鐌
jx.	鋅 觪
jzi	识 鉙
jzu	诛 銖
jz.	鎮
jco	釖
jci	诉 釮
jcu	诎 鈯
jc;	训 釧
jc,	厃
jc.	讨
jso	兒 釣
jsi	计 針 釲
jsu	设 觓 鈠
js;	釤
js,	让
js.	鉮
jro	帠
jri	鈤
jr.	认 臾 乆 讱 釰
jvi	里 邔 邭 鈻
jw;	釻
jw.	改 敂
jya	鈾
jye	鈅
jyu	鼠
qba	兵
qbo	钦
qbi	铋
qb.	钵
qpi	铍
qmi	鿏
qmu	钼
qfo	右
qfu	𫓧
qf;	钣 钒
qf,	钫
qdo	钊 刏
qta	铊
qtu	钍
qt;	钿
qt/	铜
qne	钠 冇 氝
qni	氖
qla	忥
qlo	铑
qle	钇
qli	镉
ql.	𬬭
qgi	乓
qg.	银
qg/	𫟹
qki	钘
qha	岳 氙
qho	灰 钬
qhe	乒 氕
qja	钾
qje	尢 钆
qqo	氘
qq;	铨
qq/	有
qxo	钕
qxi	氥
qx.	锌
qzi	迖
qzu	铢
qz,	𬬮
qz.	镇
qco	切
qc;	钏 氚
qso	钓 兂 旡
qsi	针
qs;	钐
qs.	氠 𬬹
qro	布
qri	氜
qvo	友
qvi	邱
qwu	钨
qya	铀
qyo	厷
qye	钥
qyi	気
xbe	婢
xbi	妼
xpa	栗
xma	妈
xmo	妺
xme	肀
xm;	娩
xfo	如
xfe	婔
xfu	妋
xf,	妨
xda	尖
xd;	印
xtu	尘 垔 婏
xt/	姛
xna	聿
xne	妠
xni	奶
xn;	姩
xla	忑
xlo	姥
xle	乤
xgi	尐
xg;	奸
xg/	娂
xke	工 襾
xki	妍
xha	奾
xho	灵
xhe	少 尹
xja	奺
xje	氏 乵
xji	妃
xju	姁
xj/	婛
xq;	姾
xxo	要 奻
xxe	妇
xxi	羽
xx,	姠
xx.	辡
xzo	覃
xzi	迺 逈
xzu	姝
xz.	嫃
xc.	寻
xso	妁
xs.	妽
xro	帇
xvo	奴
xvi	酉 邚
xwo	娮
xwe	妹
xwu	妩
xya	妯 姫
xyo	妖
zbe	箄
zb.	笨
zpa	采
zma	笃
zme	声
zm.	笽
zfo	吉
zf;	竼
zda	矢
zd;	壭
zto	筿
ztu	玍
zt/	筒
zne	笍
zla	志
zle	乞
zlu	簏
zga	笟
zg;	竿
zki	笄
zha	缶
zja	舀 笚 镹
zju	笱
zj;	觅 笕
zqu	筁
zq;	筌
zxo	妥 尓
zco	豸
zcu	笜
zc.	寽
zsi	午
zs;	髟
zvi	竺 邾
zwa	瓺
zw;	笂
zya	笛
zyo	笑 镺
cbo	芡 欪
cbe	萆
cbi	苾
cb.	苯
cma	芷
cmo	茉
cmu	苜
cm;	莬
cfo	召
cfe	菲 厞
cfu	芙
cf;	芃
cf,	芳
cda	芖
cdo	刌
cd;	节
cto	芁
ctu	菟 芏 圧
ct;	苗
ct/	茼
cna	芈
cno	茑
cne	芮
cni	艿
cla	芯
clo	荖
cle	艺
cli	蒚
clu	蔍
cga	苽
cgi	刄
cg;	厈 芉
cg.	茛
cg/	芎
cke	廿
cki	茾
cho	苂
che	茴
cji	芑
cju	苟 茍
cj;	苋
cj.	菳
cqa	茊
cqi	戊 戌 芞
cq;	厌 荃
cxa	芐
cxi	茜
cx.	莘 厗
czo	草
czi	过 辺 𦭜
czu	茱
cz,	苌
cz.	厧 蒖
cco	芀
ccu	茁
cso	芍
csu	芟
cro	芇
cr.	仄
cvi	甘 䢺 苢
cwe	苿
cwu	芜
cw;	芄
cya	苖 茞
cyo	芺
cyi	艾
sbo	忺
sbi	匂 怭
spa	耒 栄
spi	怶
sme	丰 丯
sm;	悗
sfo	古
sfe	悱
sf;	忛
sda	忕
sdi	爿
sd;	匀
stu	坣
st;	甸 甾 畄
st/	恫
sno	鸴
sn/	异 卉
sla	忐
slo	恅
sle	忆
sge	愅
sg;	忓
sg.	恨
sha	峃
sho	災 灳
she	犭 恛
sji	忋
sju	怐
sj;	觉
sj.	惍
sj/	惊
sqi	忾
sq;	恮 耂
sq/	肖
sxo	尗
sxe	当
sxi	恓
sx,	恦
sx/	克 怳
szo	龺
szi	巡 怾 辻 迧
szu	辵
sz,	怅
sz.	慎
sco	忉
sc.	导 忖
sso	畃
ssi	包
sri	旬
sr.	仧 勽
svo	支 収
svi	勿 勻
swo	訇
swe	怽
swu	怃
sw,	忹
sw.	收 攺
sya	怞
syo	勾
rbo	欥
rpa	果 杲
rpi	帔
rma	企
rmo	帓 昩
rme	曱
rm;	晚
rm.	昷
rfe	暃
rf;	帆 昄
rf,	昉 昘
rda	旲
rtu	圼
rt/	晍
rne	禺
rla	忍 昗
rle	今
rgi	刅
rg;	旱 旰
rg,	旷
rg.	食
rg/	晎
rke	旦 丒
rha	仚 旵
rho	炅 炚
rje	电 亾
rji	飠
rju	昫
rj;	𬀪
rj/	景 晾
rqo	介
rqi	曳
rxo	妟 尒
rxi	晒
rx,	晌 晑
rzi	帜
rzu	是
rz,	帐
rco	旫
rcu	昢
rc.	时
rso	旳
rsi	仐 旪
rri	昌 昍
rr.	从 仌
rvi	仒
rv,	昂
rwe	昧
rw,	旺
rye	明
vbo	欢
vbe	陴
vpi	陂
vma	阯
vme	亍
vfe	陫
vf;	阪
vf,	防
vda	头
vd;	韦
vd/	陈
vta	陀
vtu	圣
vno	鸡
vla	忈
vli	隔
vgi	叉
vg.	限 艰
vke	纟
vho	阦
vhe	乡
vje	亏 亐
vj;	观
vqo	井
vqi	戋
vq/	青
vxo	示
vx.	辟
vzi	迎
vzu	陎
vc.	对
vso	元
